,index,ChannelID,SiteIndex,X,Y,Z,DurationTime,AverageForce,MaxTemperature,MaxPower,BaseImpedance,ImpedanceDrop,FTI,RFIndex,TagIndexStatus,StartTs,EndTs,PresetName,PresetId,Comment,Site,Color,Seq
150,2946,0,151,-50.582,43.183,94.93700000000001,13.833,10.36,-10000.0,-10000.0,-10000.0,-10000.0,143.0,-10000.0,0,10623790,10639690,Preset,1,,derechas,3.0,
151,2947,0,152,-44.026,40.508,96.949,8.267000000000001,5.711,-10000.0,-10000.0,-10000.0,-10000.0,47.0,-10000.0,0,10659140,10667940,Preset,1,,derechas,3.0,
152,2948,0,153,-47.06100000000001,43.091,98.53200000000001,17.717,6.635,-10000.0,-10000.0,-10000.0,-10000.0,118.0,-10000.0,0,10668940,10687190,Preset,1,,derechas,3.0,
153,2949,0,154,-44.193000000000005,44.602,101.288,12.767000000000001,5.76,-10000.0,-10000.0,-10000.0,-10000.0,74.0,-10000.0,0,10687940,10701240,Preset,1,,derechas,3.0,
154,2950,0,155,-46.549,43.614,99.848,19.967,4.002,-10000.0,-10000.0,-10000.0,-10000.0,80.0,-10000.0,0,10718790,10739290,Preset,1,,derechas,3.0,
155,2953,0,156,-48.411,35.265,99.678,16.883,3.0589999999999997,-10000.0,-10000.0,-10000.0,-10000.0,52.0,-10000.0,0,10769540,10797190,Preset,1,,derechas,4.0,12.0
156,2954,0,157,-51.882,48.284,109.385,11.8,13.304,-10000.0,-10000.0,-10000.0,-10000.0,157.0,-10000.0,0,10859540,10875340,Preset,1,,derechas,3.0,
157,2954,0,158,-46.652,40.278,110.277,3.467,65.35600000000001,-10000.0,-10000.0,-10000.0,-10000.0,227.0,-10000.0,0,10859540,10875340,Preset,1,,derechas,3.0,
158,2955,0,159,-47.727,36.303000000000004,112.619,12.317,9.361,-10000.0,-10000.0,-10000.0,-10000.0,115.0,-10000.0,0,10884590,10897440,Preset,1,,derechas,4.0,15.0
159,2956,0,160,-50.513999999999996,43.708999999999996,110.10799999999999,20.417,6.166,-10000.0,-10000.0,-10000.0,-10000.0,126.0,-10000.0,0,10898340,10919290,Preset,1,,derechas,3.0,
160,2957,0,161,-45.742,40.404,111.47,4.817,23.779,-10000.0,-10000.0,-10000.0,-10000.0,115.0,-10000.0,0,10920040,10925390,Preset,1,,derechas,3.0,
